№	Название	Природа	Условие	Усиление	Награда	Усиленная награда	Утиль	Описание
o25	Осада	состояние	Имей в трофеях здание противника	Среди твоих трофеев есть добытчик противника	2 карты задания	жетон модуля атаки	СНАРЯЖЕНИЕ ОДНИМ ЗДАНИЕМ	Имей в трофеях здание противника — награда 2 карты задания. Если среди твоих трофеев есть добытчик противника, условие усилено: жетон модуля атаки. Снесённая экономика соседа стоит дороже снесённой казармы.
o26	Блицкриг	происшествие	В ЭТОТ ХОД уничтожь два жетона противника одним своим жетоном войска	В ЭТОТ ХОД это войско — пехота	5 монеты	карты задания, жетон модуля атаки	СВОБОДНЫЙ БОЙ	В ЭТОТ ХОД уничтожь два жетона противника одним своим жетоном войска — награда 5 монет. Если это войско — пехота, условие усилено: жетон модуля атаки и карта задания. Пехота, снявшая двоих за ход, стоит целого завода.
o27	На чужом дворе	состояние	Имей своё войско на гексе, где есть войска противника	Имей на одном таком гексе два своих войска	3 боеприпасы	2 обломки, карты задания	СНАРЯЖЕНИЕ ДВУМЯ ЗДАНИЯМИ	Имей своё войско на гексе, где есть войска противника, — награда 3 боеприпаса. Имей на одном таком гексе два своих войска, и условие усилено: 2 обломка и карта задания. Гекс никому не принадлежит — но стоять на нём вдвоём неудобно обоим.
o28	Клещи	состояние	Имей свои войска на двух гексах, соседних с одним и тем же гексом, где есть войска противника	Замкни эти клещи с трёх сторон	3 боеприпасы	карты задания, жетон модуля атаки	СВОБОДНОЕ ДВИЖЕНИЕ	Имей свои войска на двух гексах, соседних с одним и тем же гексом, где есть войска противника, — награда 3 боеприпаса. Замкни клещи с трёх сторон, и условие усилено: жетон модуля атаки и карта задания. Клещи не бьют — они отнимают выход.
o29	Пустой двор	состояние	Имей три своих войска вне гексов, где стоят твои здания, и ни одного своего войска на этих гексах	Все три стоят на разных гексах	4 монеты	2 обломки, карта арсенала НА ВЫБОР из открытых	СНАРЯЖЕНИЕ ДВУМЯ ЗДАНИЯМИ	Имей три своих войска вне гексов, где стоят твои здания, и ни одного своего войска на этих гексах, — награда 4 монеты. Если все три стоят на разных гексах, условие усилено: 2 обломка и карта арсенала на выбор из открытых. Двор пустеет ровно тогда, когда фронт наконец поехал.
o31	Господство в небе	состояние	Имей свою авиацию на гексе, где есть жетоны противника	На этом гексе стоит ЦУ противника	4 монеты	карты задания, жетон модуля атаки	+1 К СКОРОСТИ ОДНОГО РОДА ДО КОНЦА ХОДА	Имей свою авиацию на гексе, где есть жетоны противника, — награда 4 монеты. Если на этом гексе стоит ЦУ противника, условие усилено: жетон модуля атаки и карта задания. В воздушную ячейку чужого гекса влезает ровно одна авиация — чья первая, того и небо.
o41	Ответный удар	происшествие	В ЭТОТ ХОД разыграй карту, если после начала твоего прошлого хода ты уничтожил жетон противника в ответном бою	В этих ответных боях ты не потерял ни одного своего жетона	3 боеприпасы	карта арсенала НА ВЫБОР из открытых, жетон модуля атаки	2 боеприпаса	В ЭТОТ ХОД разыграй карту, если после начала твоего прошлого хода ты уничтожил жетон противника в ответном бою — когда бьют тебя, а падает нападавший. Награда: 3 боеприпаса. Если в этих ответных боях ты не потерял ни одного своего жетона, условие усилено: жетон модуля атаки и карта арсенала на выбор из открытых. Ответный бой случается не в твой ход, поэтому карта и смотрит на то, что было после начала твоего прошлого хода: сбитый жетон лежит в твоих трофеях, и видели это все.
o42	Разорение	происшествие	В ЭТОТ ХОД уничтожь добытчик противника	В ЭТОТ ХОД этот добытчик был запитан	3 монеты	3 обломки, карты задания	2 монеты	В ЭТОТ ХОД уничтожь добытчик противника — награда 3 монеты. Если этот добытчик был запитан, условие усилено: 3 обломка и карта задания. Отнятый добытчик стоит сопернику всех оставшихся раундов добычи.
o43	Охота на сильного	происшествие	В ЭТОТ ХОД уничтожь жетон игрока, у которого на поле больше зданий, чем у тебя	В ЭТОТ ХОД уничтоженный жетон был зданием	3 боеприпасы	карты задания, жетон модуля атаки	СВОБОДНЫЙ БОЙ	В ЭТОТ ХОД уничтожь жетон игрока, у которого на поле больше зданий, чем у тебя, — награда 3 боеприпаса. Если уничтоженный жетон был зданием, условие усилено: жетон модуля атаки и карта задания. Догоняющему выгодно бить того, кто оторвался, — и это видно по столу без подсчёта очков.
o46	Трофейный обоз	состояние	Имей в трофеях жетоны трёх разных видов	Собери четыре разных вида	3 монеты	2 обломки, карта арсенала НА ВЫБОР из открытых	СВОБОДНАЯ НАУКА	Имей в трофеях жетоны трёх разных видов — пехота, техника, авиация, вышка и каждый тип здания считаются отдельно. Награда: 3 монеты. Собери четыре разных вида, и условие усилено: 2 обломка и карта арсенала на выбор из открытых. Обоз показывает не силу удара, а широту фронта.
o01	Полный залп	происшествие	В ЭТОТ ХОД действием Снаряжение произведи боеприпасы не меньше чем двумя своими зданиями и не произведи ни одного войска	Среди этих зданий есть завод или авиабаза	2 монеты, 2 боеприпасы	карты задания	ДЕСАНТ: размести до 2 войск разных родов в своей зоне стройки	В ЭТОТ ХОД действием Снаряжение произведи боеприпасы не меньше чем двумя своими зданиями и не произведи ни одного войска. Награда: 2 монеты и 2 боеприпаса. Если среди этих зданий есть завод или авиабаза, условие усилено: карта задания. Ход без единого нового войска — цена полного залпа.
o02	Конвейер	происшествие	В ЭТОТ ХОД найми два войска разных родов	Среди нанятых есть авиация и нет ни одной вышки	2 боеприпасы	2 обломки, карты задания	СМЕНА ЭНЕРГИИ ИЛИ СМЕНА МОДУЛЕЙ	В ЭТОТ ХОД найми два войска разных родов — награда 2 боеприпаса. Если среди нанятых есть авиация и нет ни одной вышки, условие усилено: 2 обломка и карта задания. Авиабаза требует трёх кубиков энергии — конвейер до неё ещё надо дотянуть.
o04	Жила	состояние	Имей запитанными два своих добытчика, примыкающих к разным тайлам зарождения	Оба примыкают к нестартовым тайлам зарождения	3 монеты, карта арсенала	обломки	СВОБОДНОЕ ДВИЖЕНИЕ	Имей запитанными два своих добытчика, примыкающих к разным тайлам зарождения, — награда 3 монеты и карта арсенала. Если оба примыкают к нестартовым тайлам зарождения, условие усилено: обломок. Своё зарождение вырабатывают все, чужое — только те, кто дотянулся.
o05	Выработка	происшествие	В ЭТОТ ХОД забери последний келемий с нестартового тайла зарождения	Этим ты полностью исчерпал зарождение, и тайл ушёл с поля	3 монеты	карты задания, карта арсенала	СВОБОДНАЯ НАУКА	В ЭТОТ ХОД забери последний келемий с нестартового тайла зарождения — награда 3 монеты. Если ты этим полностью исчерпал зарождение и тайл ушёл с поля, условие усилено: карта арсенала и карта задания. Исчерпанное зарождение приближает конец партии — считай, кому это выгодно.
o08	Разведка недр	происшествие	В ЭТОТ ХОД забери печатный контейнер добытчиком	За весь ход ты не добыл ни одного келемия	2 монеты, 2 боеприпасы	жетон модуля сборки	КОНВЕРСИЯ: 1 келемий -> 1 обломок	В ЭТОТ ХОД забери печатный контейнер добытчиком — награда 2 монеты и 2 боеприпаса. Если при этом за весь ход ты не добыл ни одного келемия, условие усилено: жетон модуля сборки. Каждый добытчик в Добыче выбирает одно: келемий или контейнер.
o15	Стройбум	происшествие	В ЭТОТ ХОД выполни две строительные операции на двух гексах, не соседних между собой	Выполни три операции на трёх попарно несоседних гексах	3 боеприпасы	2 обломки, карты задания	СВОБОДНЫЙ БОЙ	В ЭТОТ ХОД выполни две строительные операции на двух гексах, не соседних между собой, — награда 3 боеприпаса. Выполни три операции на трёх попарно несоседних гексах, и условие усилено: 2 обломка и карта задания. Зона стройки растёт от твоих стенок, поэтому разъехаться дороже, чем прирасти.
o16	Переезд	происшествие	В ЭТОТ ХОД перенеси два своих здания на другие гексы	Одно из перенесённых — твоё ЦУ	3 монеты	2 обломки, карты задания	СМЕНА ЭНЕРГИИ ИЛИ СМЕНА МОДУЛЕЙ	В ЭТОТ ХОД перенеси два своих здания на другие гексы — награда 3 монеты. Если одно из перенесённых — твоё ЦУ, условие усилено: 2 обломка и карта задания. ЦУ переносится не чаще раза за ход, так что второе здание придётся подгадать.
o18	Полная нагрузка	состояние	Не имей на поле ни одного незапитанного здания, при этом зданий у тебя не меньше трёх	Доведи число зданий до четырёх, сохранив запитанность всех	2 монеты, карта арсенала	карты задания	+1 К СКОРОСТИ ОДНОГО РОДА ДО КОНЦА ХОДА	Не имей на поле ни одного незапитанного здания, при этом зданий у тебя не меньше трёх, — награда 2 монеты и карта арсенала. Доведи число зданий до четырёх, сохранив запитанность всех, и условие усилено: карта задания. Пустая ячейка ЭНР закрывается монетой только на одно действие — на состояние это не работает.
o19	Военпром	состояние	Имей два своих военных здания на разных гексах, примыкающих друг к другу общей стенкой	Вытяни цепочку из трёх своих зданий, примыкающих друг к другу	3 монеты	карты задания, жетон модуля сборки	КОНВЕРСИЯ: 1 келемий -> 1 боеприпас	Имей два своих военных здания на разных гексах, примыкающих друг к другу общей стенкой, — награда 3 монеты. Вытяни такую цепочку из трёх своих зданий, и условие усилено: жетон модуля сборки и карта задания. Здание, повёрнутое стенкой к соседнему гексу, и растит зону стройки, и держит эту цепочку.
o20	Коммутация	состояние	Имей на каждом своём источнике энергии ровно один свободный кубик, и источников у тебя не меньше двух	Держи так три источника	4 монеты	карта арсенала, жетон модуля сборки	СМЕНА ЭНЕРГИИ ИЛИ СМЕНА МОДУЛЕЙ	Имей на каждом своём источнике энергии ровно один свободный кубик, и источников у тебя не меньше двух, — награда 4 монеты. Держи так три источника, и условие усилено: жетон модуля сборки и карта арсенала. Простой кубик лежит на своём источнике, а собрать его обратно стоит гекса в Смене энергии — держать по одному на каждом неудобно намеренно.
o33	Биржа	происшествие	В ЭТОТ ХОД оплати три разных предложения на планшете маркета — напечатанные курсы и предложения карт сделок считаются по отдельности	Оплати четыре разных предложения	3 монеты	2 обломки, карты задания	СВОБОДНОЕ ДВИЖЕНИЕ	В ЭТОТ ХОД оплати три разных предложения на планшете маркета — напечатанные курсы и предложения карт сделок считаются по отдельности. Награда: 3 монеты. Оплати четыре разных предложения, и условие усилено: 2 обломка и карта задания. Биржа берёт объёмом, а не одной удачной сделкой.
o34	Научный отдел	происшествие	В ЭТОТ ХОД воспользуйся тремя разными предложениями планшета технологий — каждый трек и каждый вечный курс считаются отдельным предложением	Возьми четыре разных предложения	2 боеприпасы, карты задания	4 монеты, карты задания	СВОБОДНЫЙ МАРКЕТ	В ЭТОТ ХОД воспользуйся тремя разными предложениями планшета технологий — каждый трек и каждый вечный курс считаются отдельным предложением. Награда: 2 боеприпаса и карта задания. Возьми четыре разных предложения, и условие усилено: 4 монеты и ещё карта задания. Больше одного шага на трек за действие не сделать — значит придётся идти вширь.
o36	Научный рывок	состояние	Дойди до второго шага хотя бы на одном треке технологий	Стой на втором шаге сразу на двух треках	4 монеты	карта арсенала, жетон модуля сборки	ЩИТ: авиация или вышка	Дойди до второго шага хотя бы на одном треке технологий — награда 4 монеты. Стой на втором шаге сразу на двух треках, и условие усилено: жетон модуля сборки и карта арсенала. Второй шаг — первое место, где трек начинает платить очками.
o39	Сдача	происшествие	В ЭТОТ ХОД действием Наука заплати не меньше двух обломков	Заплатил не меньше четырёх	3 монеты	карты задания, карта арсенала НА ВЫБОР из открытых	КОНВЕРСИЯ: 1 келемий -> 1 обломок	В ЭТОТ ХОД действием Наука заплати не меньше двух обломков — награда 3 монеты. Заплатил четыре и больше: карта задания и карта арсенала на выбор из открытых. Шаги трека стоят один, два, три и четыре обломка, а прыжок через занятые ячейки платится за каждый пройденный шаг — вот единственный способ отдать четыре разом.
o40	Ва-банк	состояние	Имей одновременно ноль монет и ноль боеприпасов	Обнули заодно и келемий	3 монеты, 2 боеприпасы	2 карты задания	СВОБОДНАЯ НАУКА	Имей одновременно ноль монет и ноль боеприпасов — награда 3 монеты и 2 боеприпаса. Обнули заодно и келемий, и условие усилено: 2 карты задания. Ва-банк играют только на голом столе.
o06	Отгрузка	жертва	Сдай два своих неоткрытых контейнера	{'predicate': 'sacrifice_enhanced', 'params': {'resource': 'container', 'amount': 3}}	4 монеты	2 обломки, карты задания	СВОБОДНЫЙ МАРКЕТ	Сдай два своих неоткрытых контейнера — награда 4 монеты. Сдай третий, и условие усилено: 2 обломка и карта задания. Контейнер стоит ровно столько, сколько в нём лежит, а лежит в нём неизвестно что.
o10	Разоружение	жертва	Верни в свой запас два своих войска с разных гексов, не считая вышек и не считая гексов со своими зданиями	{'predicate': 'sacrifice_enhanced', 'params': {'resource': 'units_off_base', 'amount': 3}}	3 монеты, 2 боеприпасы	карты задания	СВОБОДНОЕ ДВИЖЕНИЕ	Верни в свой запас два своих войска с разных гексов, не считая вышек и не считая гексов со своими зданиями, — награда 3 монеты и 2 боеприпаса. Верни третье с третьего гекса, и условие усилено: карта задания. Сданные войска не считаются уничтоженными и трофеями противнику не идут.
o50	Линия фронта	состояние	Твои войска образуют непрерывное соседство, связывающее два разных гекса, где стоят твои добытчики	В этом соседстве не участвует ни одна вышка	3 боеприпасы	2 обломки, карта арсенала НА ВЫБОР из открытых	СВОБОДНОЕ ДВИЖЕНИЕ	Твои войска образуют непрерывное соседство, связывающее два разных гекса, где стоят твои добытчики, — награда 3 боеприпаса. Если в этом соседстве не участвует ни одна вышка, условие усилено: 2 обломка и карта арсенала на выбор из открытых. Вышка стоит даром и не двигается — линия без вышек означает, что ты держишь её живыми войсками.
o53	Промышленный узел	состояние	Твои здания образуют непрерывное соседство, связывающее три гекса, лежащих по прямой	В этом соседстве участвуют две твои авиабазы	3 монеты	2 обломки, карты задания	ОДНА СТРОИТЕЛЬНАЯ ОПЕРАЦИЯ	Твои здания образуют непрерывное соседство, связывающее три гекса, лежащих по прямой, — награда 3 монеты. Если в этом соседстве участвуют две твои авиабазы, условие усилено: 2 обломка и карта задания. Авиабаза просит три кубика энергии, и две подряд — это уже вся сеть.
o54	Заслон	состояние	Твои жетоны образуют непрерывное соседство, связывающее два противоположных гекса вокруг одного тайла зарождения	В этом соседстве есть войска всех четырёх родов	2 монеты, 2 боеприпасы	карта арсенала НА ВЫБОР из открытых	РЕМОНТ ГЕКСА	Твои жетоны образуют непрерывное соседство, связывающее два противоположных гекса вокруг одного тайла зарождения, — награда 2 монеты и 2 боеприпаса. Если в этом соседстве есть войска всех четырёх родов, условие усилено: карта арсенала на выбор из открытых. Заслон вокруг зарождения отрезает соседа от келемия, не тратя ни одного боеприпаса.
o55	Периметр	состояние	Твои жетоны образуют непрерывное соседство, связывающее два гекса у края поля — гекса, у которого хотя бы одно ребро не имеет соседнего гекса	В этом соседстве участвует твоя авиабаза	3 монеты, карта арсенала	2 обломки	ОДНА СТРОИТЕЛЬНАЯ ОПЕРАЦИЯ	Твои жетоны образуют непрерывное соседство, связывающее два гекса у края поля — гекса, у которого хотя бы одно ребро не имеет соседнего гекса. Награда: 3 монеты и карта арсенала. Если в этом соседстве участвует твоя авиабаза, условие усилено: 2 обломка.
o56	Прорыв	состояние	Твои жетоны образуют непрерывное соседство, связывающее одно из твоих зданий со зданием противника, и его длина не меньше 4 гексов	Длина этого соседства не меньше 6 гексов	4 боеприпасы	карты задания, жетон модуля атаки	СВОБОДНОЕ ДВИЖЕНИЕ	Твои жетоны образуют непрерывное соседство, связывающее одно из твоих зданий со зданием противника, и его длина не меньше 4 гексов, — награда 4 боеприпаса. Если длина не меньше 6 гексов, условие усилено: жетон модуля атаки и карта задания. Дорога до чужого двора — это и путь снабжения, и готовая линия удара.
o57	Дорога между дворами	состояние	Твои жетоны образуют непрерывное соседство, связывающее гексы, примыкающие к тайлам стартового зарождения	В этом соседстве участвует не меньше 3 жетонов войск	3 монеты, келемий	карта арсенала	СВОБОДНАЯ ДОБЫЧА	Твои жетоны образуют непрерывное соседство, связывающее гексы, примыкающие к тайлам стартового зарождения, — награда 3 монеты и келемий. Если в соседстве участвует не меньше 3 жетонов войск, условие усилено: карта арсенала. Стартовые зарождения стоят у баз, так что эта дорога всегда идёт по чужим задворкам.
o58	Живая цепь	состояние	Твои ВОЙСКА образуют непрерывное соседство, связывающее две ячейки у границ поля	В этом соседстве не участвует ни одна вышка	3 боеприпасы	2 обломки, карты задания	+1 К СКОРОСТИ ОДНОГО РОДА ДО КОНЦА ХОДА	Твои войска образуют непрерывное соседство, связывающее две ячейки у границ поля, — награда 3 боеприпаса. Если в соседстве не участвует ни одна вышка, условие усилено: 2 обломка и карта задания. Вышка стоит даром и не двигается — линия без вышек значит, что ты держишь её живыми войсками.
o59	Промышленная связка	состояние	Твои ЗДАНИЯ образуют непрерывное соседство, связывающее два гекса, где стоят твои добытчики	В этом соседстве участвует твоя энергостанция	4 монеты	карта арсенала, жетон модуля сборки	СМЕНА ЭНЕРГИИ ИЛИ СМЕНА МОДУЛЕЙ	Твои здания образуют непрерывное соседство, связывающее два гекса, где стоят твои добытчики, — награда 4 монеты. Если в соседстве участвует твоя энергостанция, условие усилено: жетон модуля сборки и карта арсенала. Связка из зданий заодно растит зону стройки — она платит дважды.
o60	Клин	состояние	Твои жетоны образуют непрерывное соседство, связывающее одно из твоих зданий со зданием противника, и в нём не участвует авиация	В этом соседстве участвуют и пехота, и техника	2 боеприпасы, 2 обломки	жетон модуля атаки	ЩИТ: пехота или техника	Твои жетоны образуют непрерывное соседство, связывающее одно из твоих зданий со зданием противника, и в нём не участвует авиация, — награда 2 боеприпаса и 2 обломка. Если в соседстве участвуют и пехота, и техника, условие усилено: жетон модуля атаки. Авиация перелетает разрывы; клин по земле приходится выкладывать целиком.
o61	Широкий фронт	состояние	Твои жетоны образуют непрерывное соседство, связывающее три ячейки у границ поля	Длина этого соседства не меньше 6 гексов	3 монеты, 2 боеприпасы	2 карты задания	ОДНА СТРОИТЕЛЬНАЯ ОПЕРАЦИЯ	Твои жетоны образуют непрерывное соседство, связывающее три ячейки у границ поля, — награда 3 монеты и 2 боеприпаса. Если длина соседства не меньше 6 гексов, условие усилено: 2 карты задания. Три края разом держит только тот, у кого фронт шире чужого.
o62	Обход	состояние	Твои жетоны образуют непрерывное соседство, связывающее два противоположных гекса вокруг одного тайла зарождения	Длина этого соседства не меньше 5 гексов	2 монеты, келемий	карты задания	СВОБОДНАЯ ДОБЫЧА	Твои жетоны образуют непрерывное соседство, связывающее два противоположных гекса вокруг одного тайла зарождения, — награда 2 монеты и келемий. Если длина соседства не меньше 5 гексов, условие усилено: карта задания. Обход вокруг жилы отрезает соседа от келемия, не потратив ни одного боеприпаса.
