№	семейство	природа	ТРЕБОВАНИЕ	УСИЛЕНИЕ	награда	цена	усиленная награда	верх
13	Обеспечение	В ЭТОТ ХОД	В ЭТОТ ХОД воспользуйся тремя разными предложениями Науки	—	2 БПР, 1 монет	3,25	—	A
14	Обеспечение	В ЭТОТ ХОД	В ЭТОТ ХОД сдай трофеи на ДВУХ разных треках технологий	На трёх треках	2 карт задания	3,2	—	T
15	Развертывание	СОСТОЯНИЕ	Имей своё здание на гексе, соседнем с гексом, где стоит ЦУ противника	Твоих зданий вокруг чужого ЦУ два, и стоят они на разных гексах	3 монет	3	2 ТРОФЕЯ	E
16	Развертывание	В ЭТОТ ХОД	В ЭТОТ ХОД построй свое здание на гексе, соседнем с гексом, где есть войска врага	На том же соседнем гексе есть здание врага	3 монет	3	АРСЕНАЛ	E
17	Развертывание	СОСТОЯНИЕ	Все твои здания, требующие энергию, запитаны (не менее 3)	Не менее 4 зданий	3 монет	3	АРСЕНАЛ	P
18	Развертывание	В ЭТОТ ХОД	В ЭТОТ ХОД снеси своё здание и построй другое	Построенное встало на тот же гекс, где стояло снесённое	2 монет, 1 карт задания	3,6	1 ТРОФЕЙ	T
19	Развертывание	В ЭТОТ ХОД	В ЭТОТ ХОД построй 2 здания на разных гексах	3 здания на разных и несоседних между собой гексах	3 БПР	3,75	1 ТРОФЕЙ	E
20	Развертывание	В ЭТОТ ХОД	В ЭТОТ ХОД построй своё здание на гексе, где стоит войско врага	На этом гексе два и более жетонов врага	4 монет	4	2 ТРОФЕЯ	E
21	Развертывание	СОСТОЯНИЕ	Имей на двух зданиях - источниках энергии ровно один свободный кубик	На трех источниках энергии	4 монет	4	МОДУЛЬ СБОРКИ	P
22	Расплата	В ЭТОТ ХОД	Сбрось карту арсенала	2 карты арсенала	2 монет, 1 БПР	3,25	МОДУЛЬ АТАКИ	O
23	Расплата	В ЭТОТ ХОД	Сдай в общий запас 2 боеприпаса	5 боеприпасов	2 монет, 1 карт задания	3,6	АРСЕНАЛ	D
24	Расплата	В ЭТОТ ХОД	Верни в запас 2 своих войска с поля	Технику и/или авиацию - и с одного гекса	3 БПР	3,75	МОДУЛЬ СБОРКИ	E
25	Расплата	В ЭТОТ ХОД	Сдай два своих неоткрытых контейнера	4 контейнера	3 монет	3	2 ТРОФЕЯ	A
26	Устранение	В ЭТОТ ХОД	В ЭТОТ ХОД уничтожь технику или авиацию врага	и еще 2 жетона любого врага	4 монет	4	АРСЕНАЛ	X
27	Устранение	В ЭТОТ ХОД	В ЭТОТ ХОД уничтожь все жетоны врага на одном гексе	их на этом гексе не менее 3	4 монет	4	МОДУЛЬ АТАКИ	X
28	Устранение	В ЭТОТ ХОД	В ЭТОТ ХОД уничтожь добытчик противника	Этот добытчик был полностью запитан и примыкал к келемию	4 монет	4	МОДУЛЬ АТАКИ	X
29	Устранение	СОСТОЯНИЕ	Имей среди уничтоженных жетонов жетон врага	два жетона, один из них - добытчик	4 монет	4	МОДУЛЬ АТАКИ	V
30	Устранение	СОСТОЯНИЕ	Имей среди уничтоженных жетонов два жетона врага	один из них - энергостанция	4 монет	4	МОДУЛЬ СБОРКИ	Z
31	Устранение	СОСТОЯНИЕ	Имей среди уничтоженных жетонов жетоны ДВУХ разных противников	И оба этих жетона — здания	4 монет	4	МОДУЛЬ СБОРКИ	X
32	Устранение	В ЭТОТ ХОД	В ЭТОТ ХОД уничтожь жетон игрока, у которого на поле больше войск, чем у тебя	В ЭТОТ ХОД уничтоженный жетон был техникой или авиацией	2 монет, 1 карт задания	3,6	1 ТРОФЕЙ	H
33	Устранение	В ЭТОТ ХОД	В ЭТОТ ХОД уничтожь два жетона противника	В ЭТОТ ХОД у одного из уничтоженных прочность была 2 или больше	4 монет	4	МОДУЛЬ АТАКИ	X
34	Устранение	В ЭТОТ ХОД	В ЭТОТ ХОД уничтожь жетон игрока, у которого на поле больше зданий, чем у тебя	В ЭТОТ ХОД уничтоженный жетон был зданием	2 БПР, 1 карт задания	4,1	1 ТРОФЕЙ	V
35	Устранение	В ЭТОТ ХОД	В ЭТОТ ХОД уничтожь энергостанцию противника	Это была энергостанция 3 или 4 уровня.	2 БПР, 1 карт задания	4,1	2 ТРОФЕЯ	H
36	Экспансия	СОСТОЯНИЕ	Имей на поле все свои 4 здания энергостанций	—	2 карт задания	3,2	—	P
37	Экспансия	СОСТОЯНИЕ	Имей на поле все свои 4 здания добытчиков	—	2 карт задания	3,2	—	P
38	Экспансия	В ЭТОТ ХОД	В ЭТОТ ХОД найми два войска разных родов	Среди нанятых есть авиация и нет ни одной вышки	2 монет, 1 карт задания	3,6	2 ТРОФЕЯ	E
39	Экспансия	СОСТОЯНИЕ	Займи 4 разных гекса войсками хотя бы 2 видов	6 гексов	3 монет	3	2 ТРОФЕЯ	R
40	Экспансия	СОСТОЯНИЕ	Займи войсками 5 разных гексов	На 2 из них есть здания противника	2 БПР, 1 карт задания	4,1	АРСЕНАЛ	P
