№,Семейство,Утиль,Условие,Усиление,монеты,боеприпасы,карты задания,трофеи,карта арсенала,жетон модуля атаки,ОЦЕНКА награды,усил.: монеты,усил.: боеприпасы,усил.: карты задания,усил.: трофеи,усил.: карта арсенала,усил.: модуль сборки,усил.: модуль атаки,звезда на треке технологий (положить кубик и получить в конце игры ПО),ОЦЕНКА с усилением,Описание
27,Устранение,ДВИЖЕНИЕ 2 войсками,В ЭТОТ ХОД уничтожь все жетоны врага на одном гексе,их на этом гексе не менее 3,2,1,,,,,"3,2",,,,,,,1,,8,"В ЭТОТ ХОД уничтожь все жетоны врага на одном гексе — награда 4 монеты. Если их там было не меньше трёх, условие усилено: жетон модуля атаки. Вычистить гекс целиком — работа не одного выстрела: здание закрывает гекс, и снимать приходится по очереди."
28,Устранение,1 ОБМЕН В НАУКЕ (не трек) ИЛИ 1 ОБМЕН НА РЫНКЕ (не карта),В ЭТОТ ХОД уничтожь добытчик противника,этот добытчик примыкал к стартовому зарождению,2,,1,,,,"3,6",,,,,,,1,,8,"В ЭТОТ ХОД уничтожь добытчик противника — награда 4 монеты. Если этот добытчик был полностью запитан и примыкал к келемию, условие усилено: жетон модуля атаки. Отнятый добытчик стоит сопернику всех оставшихся раундов добычи — а работающий на полную вдвое дороже."
29,Устранение,"ЭВАКУАЦИЯ ТРОФЕЕВ: Если атакуют твой жетон, ты можешь вернуть его в свой запас (не отдавая в трофеи)"," Имей у себя на свалке 
 хотя бы 1 жетон 
 здания врага  ","два жетона, один из них - энергостанция",3,,,,,,3,,,,,,,1,,8,"Имей среди уничтоженных жетонов жетон врага — награда 4 монеты. Если их два и один из них добытчик, условие усилено: жетон модуля атаки. Снесённая экономика соседа стоит дороже снесённой казармы."
30,Устранение,ЗАГРАДИТЕЛЬНЫЙ ОГОНЬ: твоё уничтоженное здание наносит 1 урон убийце,Имей среди уничтоженных жетонов хотя бы 2 жетона врага,Один из них — военное здание,3,,,,,,3,,,,,,1,,,8,"Имей среди уничтоженных жетонов два жетона врага — награда 4 монеты. Если один из них энергостанция, условие усилено: жетон модуля сборки. Энергостанция питает всё остальное, поэтому её снос стоит противнику дороже собственной цены."
31,Устранение,1 ОБМЕН В НАУКЕ (не трек) ИЛИ 1 ОБМЕН НА РЫНКЕ (не карта),Имей среди уничтоженных жетонов хотя бы 2 жетона врага,эти жетоны - техника и/или авиация,3,,,,,,3,,,,,,1,,,8,"Имей среди уничтоженных жетонов жетоны двух разных противников — награда 4 монеты. Если оба этих жетона здания, условие усилено: жетон модуля сборки. Единственная карта колоды, которую нельзя закрыть, воюя с одним соседом."
32,Устранение,РЕМОНТ ГЕКСА,"В ЭТОТ ХОД уничтожь жетон игрока, у которого на поле больше войск, чем у тебя",хотя бы 2 жетона войск,1,1,1,,,,"3,8",,,,1,,,,,"5,6","В ЭТОТ ХОД уничтожь жетон игрока, у которого на поле больше войск, чем у тебя, — награда 2 монеты и 1 карта задания. Если уничтоженный был техникой или авиацией, условие усилено: 1 трофей. Бить сильнейшего значит получить сдачи, и карта платит именно за это."
33,Устранение,ДВИЖЕНИЕ 2 войсками,"В ЭТОТ ХОД уничтожь жетон игрока, у которого на поле больше зданий, чем у тебя",В ЭТОТ ХОД у одного из уничтоженных прочность была 2 или больше,4,,,,,,4,,,,,1,,,,8,"В ЭТОТ ХОД уничтожь два жетона противника — награда 4 монеты. Если у одного из них прочность была 2 или больше, условие усилено: жетон модуля атаки. Первая кровь считается по двум, а не по одному."
34,Устранение,ЭВАКУАЦИЯ ТРОФЕЕВ: твой уничтоженный жетон уходит в твой запас,"В ЭТОТ ХОД уничтожь жетон игрока, у которого на поле больше зданий, чем у тебя",В ЭТОТ ХОД уничтоженный жетон был добытчиком,,2,1,,,,4,,,,1,,,,,"6,1","В ЭТОТ ХОД уничтожь жетон игрока, у которого на поле больше зданий, чем у тебя, — награда 2 боеприпаса и 1 карта задания. Если уничтоженный жетон был зданием, условие усилено: 1 трофей. Догоняющему выгодно бить того, кто оторвался, — и это видно по столу без подсчёта очков."
35,Устранение,ДВИЖЕНИЕ 2 войсками,В ЭТОТ ХОД уничтожь энергостанцию противника,Это была энергостанция 3 или 4 уровня.,,2,1,,,,4,,,,,,,1,,"8,1","В ЭТОТ ХОД уничтожь энергостанцию противника — награда 2 боеприпаса и 1 карта задания. Если это была энергостанция третьего или четвёртого уровня, условие усилено: 2 трофея. Крупные энергостанции стоят в глубине, и лезть за ними опасно."
36,Экспансия,АТАКА ОДНИМ ВОЙСКОМ,Имей на поле все свои 4 здания энергостанций,,1,,2,,,,"4,2",,,,,,,,,"3,2",Имей на поле все свои 4 здания энергостанций — награда 2 карты задания. Полный комплект источников на поле — лучшая мишень в партии: их нечем прикрыть и негде спрятать.
37,Экспансия,ПОГЛОЩЕНИЕ: отбери 1 боеприпас,В ЭТОТ ХОД найми два войска разных родов,Среди нанятых есть авиация и нет ни одной вышки,2,,1,,,,"4,2",,,,1,,,,,"3,2","Имей на поле все свои 4 здания добытчиков — награда 2 карты задания. Разложил всё, чем добываешь, — держи оборону или жги карту: у добытчика прочность один."
38,Экспансия,СМЕНА ЭНЕРГИИ ИЛИ СМЕНА МОДУЛЕЙ,Имей на поле все свои 4 здания добытчиков,,1,,2,,,,"3,6",,,,,,,,,"7,6","В ЭТОТ ХОД найми два войска разных родов — награда 2 монеты и 1 карта задания. Если среди нанятых есть авиация и нет ни одной вышки, условие усилено: 2 трофея. Авиабаза требует трёх кубиков энергии — конвейер до неё ещё надо дотянуть."
39,Экспансия,ЗАКРОМА: +1 БОЕПРИПАС В ПРИКАЗ НАСТУПЛЕНИЕ,Займи 4 разных гекса войсками хотя бы 2 видов,6 гексов,3,,,,,,3,,,,1,,,,,7,"Займи 4 разных гекса войсками хотя бы 2 видов — награда 3 монеты. 6 гексов, и условие усилено: 2 трофея. Растянуться по полю выгодно и опасно разом: где тонко, там и порвут."
40,Экспансия,АТАКА ОДНИМ ВОЙСКОМ,Займи войсками 5 разных гексов,На 2 из них есть здания противника,,2,1,,,,4,,,,,1,,,,"8,1","Займи войсками 5 разных гексов — награда 2 боеприпаса и 1 карта задания. Если на двух из них есть здания противника, условие усилено: 1 карта арсенала. Гекс с чужим зданием закрыт: стоять там можно, бить оттуда — только по зданиям и вышкам."
